,w,a,m
0,0.1650104546986067,0.17810734063591716,0.16981256796321018
1,0.1642168410349029,0.13826537452170135,0.1670115729879877
2,0.18720521092149123,0.15033240272089513,0.1580803287560479
3,0.2037023548829464,0.1529285114351259,0.13940924172883062
4,0.20894146410316394,0.1677835363734803,0.13097267928230805
5,0.2080487072525773,0.18070467211248897,0.11790777353897114
6,0.21164625070550416,0.18242810831498388,0.11574796779824681
7,0.1996089522932972,0.19188836051707933,0.11593715003786412
8,0.19088104714527787,0.203421919014627,0.12358110449777662
9,0.18556421721644556,0.21221970549936273,0.12185146872041656
10,0.18585384592007076,0.2326504381415457,0.1262649967646741
11,0.17821169872665504,0.2355609778464141,0.13550296709102586
12,0.17874847606704292,0.23547967220632085,0.1420016886289483
13,0.1836339662609128,0.20048795629481056,0.14847372284540958
14,0.18880644053196693,0.18587741929700197,0.16363061439462784
15,0.18934897560584252,0.17002951601976724,0.16909519859448463
16,0.18899820927587055,0.18465607910873535,0.17890759846663787
17,0.18821064753725303,0.1822493401690746,0.18181514056928222
18,0.1855006916755409,0.18742682658788962,0.18635001414927466
19,0.18882733759496792,0.19860117586178674,0.18847797474471997
20,0.1951549010231182,0.22013910592259245,0.19812439085810132
21,0.20282885560606057,0.2395570229344719,0.19142806737982734
22,0.20109343709530164,0.23223609215055638,0.18581497618373083
23,0.20186831288291995,0.24029980413327504,0.1877949943864446
24,0.1994610089699387,0.23793444906008787,0.1870761320357746
25,0.20015667570571238,0.24805683235453255,0.18119155959536334
26,0.20335207163960675,0.2466667533832509,0.18474995593776358
27,0.20560299264273993,0.24942165473587383,0.18325048806772457
28,0.20728827722651497,0.2617269445459334,0.18122481006074304
29,0.19926492319442765,0.2617507706711673,0.16290835007095786
30,0.1996667020379285,0.2474717121404288,0.16374835773439958
31,0.20850875737067337,0.23006664367084934,0.16362616612133632
32,0.21711626519199534,0.21773152455603728,0.1687436136115839
33,0.2185291438369672,0.21290695852152064,0.16312192542992016
34,0.21592755270430225,0.21967028311063316,0.16072369678765724
35,0.21751016052096492,0.24598994639533073,0.16041248253261756
36,0.21599312467693768,0.2575418108353124,0.15318253631239095
